Country	Subject Descriptor	Units	Scale	2016	2017	2018	2019	2020	2021	Estimates Start After
Afghanistan	Gross domestic product, current prices	U.S. dollars	Billions	17.275	17.449	18.468	19.648	20.905	22.217	2014
Albania	Gross domestic product, current prices	U.S. dollars	Billions	12.269	12.978	13.851	14.916	16.113	17.259	2012
Algeria	Gross domestic product, current prices	U.S. dollars	Billions	165.974	173.856	179.588	185.333	191.335	197.726	2014
Angola	Gross domestic product, current prices	U.S. dollars	Billions	81.497	86.287	91.608	97.245	103.435	109.800	2014
Antigua and Barbuda	Gross domestic product, current prices	U.S. dollars	Billions	1.332	1.389	1.461	1.538	1.620	1.706	2014
Argentina	Gross domestic product, current prices	U.S. dollars	Billions	437.856	447.827	473.129	497.306	523.858	551.249	2014
Armenia	Gross domestic product, current prices	U.S. dollars	Billions	10.774	11.152	11.712	12.360	13.030	13.819	2014
Australia	Gross domestic product, current prices	U.S. dollars	Billions	1,200.778	1,262.336	1,330.245	1,398.726	1,468.691	1,535.836	2015
Austria	Gross domestic product, current prices	U.S. dollars	Billions	384.799	399.615	411.779	425.704	440.960	452.914	2015
Azerbaijan	Gross domestic product, current prices	U.S. dollars	Billions	35.141	36.195	37.281	38.399	39.935	41.532	2014
The Bahamas	Gross domestic product, current prices	U.S. dollars	Billions	8.917	9.195	9.478	9.848	10.136	10.434	2014
Bahrain	Gross domestic product, current prices	U.S. dollars	Billions	30.079	31.959	33.549	35.151	36.787	38.429	2014
Bangladesh	Gross domestic product, current prices	U.S. dollars	Billions	226.257	246.730	269.491	294.203	320.207	347.830	2013
Barbados	Gross domestic product, current prices	U.S. dollars	Billions	4.498	4.655	4.859	5.087	5.325	5.566	2013
Belarus	Gross domestic product, current prices	U.S. dollars	Billions	45.887	49.252	52.494	55.792	58.859	61.068	2013
Belgium	Gross domestic product, current prices	U.S. dollars	Billions	465.248	479.679	493.756	509.830	528.182	542.764	2014
Belize	Gross domestic product, current prices	U.S. dollars	Billions	1.807	1.884	1.976	2.069	2.164	2.252	2013
Benin	Gross domestic product, current prices	U.S. dollars	Billions	9.062	9.787	10.552	11.436	12.347	13.329	2012
Bhutan	Gross domestic product, current prices	U.S. dollars	Billions	2.475	2.759	3.146	3.461	3.777	4.153	2012
Bolivia	Gross domestic product, current prices	U.S. dollars	Billions	33.983	37.301	40.935	44.884	48.963	53.217	2014
Bosnia and Herzegovina	Gross domestic product, current prices	U.S. dollars	Billions	16.324	17.190	18.091	19.324	20.785	22.132	2015
Botswana	Gross domestic product, current prices	U.S. dollars	Billions	12.701	13.609	14.578	15.639	16.890	17.708	2012
Brazil	Gross domestic product, current prices	U.S. dollars	Billions	1,534.782	1,556.435	1,608.744	1,677.455	1,749.348	1,828.638	2014
Brunei Darussalam	Gross domestic product, current prices	U.S. dollars	Billions	9.097	10.103	11.482	13.911	15.609	16.926	2014
Bulgaria	Gross domestic product, current prices	U.S. dollars	Billions	49.364	51.442	53.517	55.974	58.880	61.510	2014
Burkina Faso	Gross domestic product, current prices	U.S. dollars	Billions	11.872	12.896	13.960	15.163	16.503	17.843	2012
Burundi	Gross domestic product, current prices	U.S. dollars	Billions	2.772	2.976	3.218	3.480	3.770	4.091	2012
Cabo Verde	Gross domestic product, current prices	U.S. dollars	Billions	1.625	1.719	1.830	1.958	2.096	2.222	2014
Cambodia	Gross domestic product, current prices	U.S. dollars	Billions	19.476	21.015	22.835	24.796	26.946	29.210	2013
Cameroon	Gross domestic product, current prices	U.S. dollars	Billions	30.296	32.629	35.038	37.670	40.554	43.234	2014
Canada	Gross domestic product, current prices	U.S. dollars	Billions	1,462.329	1,530.701	1,595.498	1,666.608	1,739.995	1,803.870	2015
Central African Republic	Gross domestic product, current prices	U.S. dollars	Billions	1.819	2.076	2.349	2.612	2.889	3.124	2012
Chad	Gross domestic product, current prices	U.S. dollars	Billions	10.096	11.282	12.075	13.364	14.342	15.151	2013
Chile	Gross domestic product, current prices	U.S. dollars	Billions	235.419	243.924	254.836	267.162	281.204	296.715	2014
China	Gross domestic product, current prices	U.S. dollars	Billions	11,383.033	12,263.429	13,338.231	14,605.294	16,144.037	17,762.011	2015
Colombia	Gross domestic product, current prices	U.S. dollars	Billions	253.240	278.594	316.581	362.690	413.481	440.734	2014
Comoros	Gross domestic product, current prices	U.S. dollars	Billions	0.609	0.647	0.688	0.736	0.788	0.838	2013
Democratic Republic of the Congo	Gross domestic product, current prices	U.S. dollars	Billions	41.207	43.652	46.571	50.160	53.771	57.290	2013
Republic of Congo	Gross domestic product, current prices	U.S. dollars	Billions	8.364	9.493	10.015	10.663	10.868	11.259	2014
Costa Rica	Gross domestic product, current prices	U.S. dollars	Billions	56.908	60.803	65.114	69.714	74.579	80.159	2015
Côte d'Ivoire	Gross domestic product, current prices	U.S. dollars	Billions	34.668	38.477	42.306	46.543	51.182	55.663	2012
Croatia	Gross domestic product, current prices	U.S. dollars	Billions	49.928	51.945	53.979	56.426	59.233	61.500	2014
Cyprus	Gross domestic product, current prices	U.S. dollars	Billions	19.795	20.504	21.271	22.189	23.132	23.948	2015
